scan_id,status,model_name,cwes,total_findings,confirmed_vulns,false_positives,failed,total_cost_usd,duration_s,start_time,end_time
57a2e391-3160-4587-944f-ea3fbff43707,completed,anthropic/claude-3.5-sonnet,CWE-89,16,1,15,0,0.4458999999999999,233.395218,2026-03-10T20:25:56.615025,2026-03-10T20:29:50.010243
468c7b3f-ff3a-4f45-b626-16470bf9c387,failed,openrouter/auto,CWE-89,0,0,0,0,0.0,0.0,2026-03-10T22:58:44.279301,2026-03-10T23:03:06.063305
f33c84d4-ffca-4883-b8a2-992387c67bc6,completed,openrouter/auto,"CWE-89,CWE-79",3,0,3,0,0.059376,106.676232,2026-03-11T08:55:03.961150,2026-03-11T08:56:50.637382
03febf6b-42fc-4dcc-ab61-daab09256ea3,failed,openrouter/auto,"CWE-89,CWE-79,CWE-94,CWE-78,CWE-22,CWE-798,CWE-502,CWE-352,CWE-601,CWE-312",0,0,0,0,0.0,0.0,2026-03-11T09:02:33.407205,2026-03-11T09:03:29.412402
296a91eb-6614-4801-bdc9-3f2629c8840f,completed,openrouter/auto,"CWE-89,CWE-79,CWE-94,CWE-78,CWE-22,CWE-798,CWE-502,CWE-352,CWE-601,CWE-312",0,0,0,0,0.0,19.95394,2026-03-11T09:10:25.052561,2026-03-11T09:10:45.006501
057aaece-eef6-4464-98d2-e97a8481a0c0,completed,openrouter/auto,"CWE-89,CWE-79,CWE-94,CWE-78,CWE-22,CWE-798,CWE-502,CWE-352,CWE-601,CWE-312",3,0,3,0,0.121174,333.463567,2026-03-11T10:39:44.582017,2026-03-11T10:45:18.045584
feeb3c33-ea1b-4d91-aac8-8784ec71ddf6,completed,openrouter/auto,"CWE-89,CWE-79,CWE-94,CWE-78,CWE-22,CWE-798,CWE-502,CWE-352,CWE-601,CWE-312",0,0,0,0,0.0,1962.409482,2026-03-11T11:49:25.925723,2026-03-11T12:22:08.335205
b8592082-800c-40c0-a7d4-ef722483d85d,completed,openrouter/auto,"CWE-89,CWE-79,CWE-94,CWE-78,CWE-22,CWE-798,CWE-502,CWE-352,CWE-601,CWE-312",16,1,15,0,0.45389599999999997,352.933879,2026-03-11T13:54:41.784412,2026-03-11T14:00:34.718291
86e01b1a-33c5-44f9-8e22-d9b764b907fb,completed,openrouter/auto,"CWE-89,CWE-79,CWE-94,CWE-78,CWE-22,CWE-798,CWE-502,CWE-352,CWE-601,CWE-312",0,0,0,0,0.0,1003.646643,2026-03-11T13:48:18.376957,2026-03-11T14:05:02.023600
6d33a438-843c-45f9-baa7-f40a3f549962,completed,openrouter/auto,"CWE-89,CWE-79,CWE-94,CWE-78,CWE-22,CWE-798,CWE-502,CWE-352,CWE-601,CWE-312",2,1,1,0,0.050003,273.036381,2026-03-11T14:18:26.763812,2026-03-11T14:22:59.800193
21a98785-97e9-4750-b0c0-a7a3ea03f3ec,failed,openrouter/auto,"CWE-89,CWE-79,CWE-94,CWE-78,CWE-22,CWE-798,CWE-502,CWE-352,CWE-601,CWE-312",0,0,0,0,0.0,0.0,2026-03-11T15:17:31.467752,2026-03-11T15:20:13.675232
